ticket,ballot_position,surname,ballot_given_nm,party_ballot_nm,transfer_factor,elimination_order,fate,notes
A,1,NICHOLS,Maree,Rise Up Australia Party,1,378,Transfer,
A,2,SHIGROV,Vladimir,Rise Up Australia Party,1,180,Transfer,
A,3,TOOP,Leo,Rise Up Australia Party,1,75,Transfer,
B,1,KATELARIS,Andrew,Help End Marijuana Prohibition (HEMP) Party,1,418,Transfer,
B,2,BALDERSTONE,Michael,Help End Marijuana Prohibition (HEMP) Party,1,194,Transfer,
C,1,KNIGHT,Molly,Health Australia Party,1,368,Transfer,
C,2,FAIRBAIRN,Jason,Health Australia Party,1,135,Transfer,
D,1,HUGHES,Hollie,Liberal,0.596943975079738,1,Elected,
D,2,BRAGG,Andrew,Liberal,0.193019404347915,2,Elected,
D,3,DAVEY,Perin,The Nationals,0,500,Final,
D,4,MOLAN,Jim,Liberal,1,413,Transfer,
D,5,FARRAWAY,Sam,The Nationals,1,224,Transfer,
D,6,FENELEY,Michael,Liberal,1,254,Transfer,
E,1,AUGUST,John,Pirate Party,1,333,Transfer,
E,2,JOYCE,Sara,Pirate Party,1,157,Transfer,
F,1,POTTS,Andrew,Affordable Housing Party,1,343,Transfer,
F,2,ZIEBELL,Anthony John,Affordable Housing Party,1,121,Transfer,
G,1,FARUQI,Mehreen,The Greens,0,500,Final,
G,2,JACOBS,Rachael,The Greens,1,269,Transfer,
G,3,STEER,Louise,The Greens,1,214,Transfer,
G,4,CLARK,Philippa,The Greens,1,244,Transfer,
G,5,CHIA,Roz,The Greens,1,170,Transfer,
G,6,ELLSMORE,Sylvie,The Greens,1,219,Transfer,
H,1,COOKE,Brett,"Shooters, Fishers and Farmers",1,423,Transfer,
H,2,BORSAK,Wayne,"Shooters, Fishers and Farmers",1,199,Transfer,
I,1,GEORGANTIS,Steven,Australian People's Party,1,323,Transfer,
I,2,TSANGARIS,Susan,Australian People's Party,1,23,Transfer,
J,1,SHELDON,Tony,Labor,0.51674662520686,1,Elected,
J,2,AYRES,Tim,Labor,0.031510564015477,3,Elected,
J,3,LI,Jason Yat-Sen,Labor,1,408,Transfer,
J,4,PENGELLY,Simonne,Labor,1,278,Transfer,
J,5,CHANDRALA,Aruna,Labor,1,259,Transfer,
J,6,SHEAHAN,Charlie,Country Labor,1,249,Transfer,
K,1,PRICE,Susan,Socialist Alliance,1,288,Transfer,
K,2,McALEAR,Joel,Socialist Alliance,1,16,Transfer,
L,1,SWIVEL,Mark,The Together Party,1,283,Transfer,
L,2,KINKEAD,Belinda,The Together Party,1,90,Transfer,
L,3,McDOWELL,Kate,The Together Party,1,34,Transfer,
M,1,YORK,Sophie,Australian Conservatives,1,358,Transfer,
M,2,BOSI,Riccardo,Australian Conservatives,1,185,Transfer,
N,1,HOPKINS,Matthew,The Great Australian Party,1,308,Transfer,
N,2,BURGE,Karen,The Great Australian Party,1,80,Transfer,
O,1,THOMSON,Carolyn,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,1,338,Transfer,
O,2,YOUNG,Gary,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,1,144,Transfer,
O,3,SWANN,Paul,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,1,55,Transfer,
O,4,WHARTON,Ian,FRASER ANNING'S CONSERVATIVE NATIONAL PARTY,1,74,Transfer,
P,1,NILE,Silvana,Christian Democratic Party (Fred Nile Group),1,398,Transfer,
P,2,WRIGHT,Annie,Christian Democratic Party (Fred Nile Group),1,175,Transfer,
