ticket,ballot_position,surname,ballot_given_nm,party_ballot_nm,transfer_factor,elimination_order,fate,notes
A,1,GALLAGHER,Katy,Australian Labor Party,0.001648640134411,12,Elected,
A,2,NORTHAM,Maddy,Australian Labor Party,1,10,Transfer,
B,1,ANGEL,Joy,Sustainable Australia Party - Stop Overdevelopment / Corruption,1,20,Transfer,
B,2,HAYDON,John,Sustainable Australia Party - Stop Overdevelopment / Corruption,1,3,Transfer,
C,1,SAVOULIDIS,James,United Australia Party,1,26,Transfer,
C,2,PAGE,Tracey,United Australia Party,1,7,Transfer,
D,1,SESELJA,Zed,Liberal,1,1000,Bag,
D,2,LAM,Kacey,Liberal,1,16,Transfer,
E,1,POCOCK,David,David Pocock,0,500,Final,
E,2,DOUBE,Clare,David Pocock,1,6,Transfer,
F,1,RUBENSTEIN,Kim,Kim for Canberra,1,28,Transfer,
F,2,HUYNH,Kim,Kim for Canberra,1,8,Transfer,
G,1,FAULKNER,Therese,Australian Progressives,1,14,Transfer,
G,2,LIN,Stephen,Australian Progressives,1,2,Transfer,
H,1,GORENG GORENG,Tjanara,The Greens,1,29,Transfer,
H,2,CRUZ,James,The Greens,1,9,Transfer,
I,1,KATELARIS,Andrew,Legalise Cannabis Australia,1,24,Transfer,
I,2,STANVIC,Michelle,Legalise Cannabis Australia,1,4,Transfer,
J,1,del VALLE,Yana,Animal Justice Party,1,22,Transfer,
J,2,FAHIZ,Jannah,Animal Justice Party,1,1,Transfer,
K,1,SIMMS,Michael,Informed Medical Options Party,1,18,Transfer,
K,2,LIDDICOAT,Mary-Jane,Informed Medical Options Party,1,5,Transfer,
UG,1,LI,Fuxin,Independent,1,11,Transfer,
